Variable,Summary Statistics,Original,P1%,P5%,P10%
teacher,mean,1.19,1.18,1.18,1.17
teacher,std deviation,0.37,0.38,0.44,0.54
teacher,correlation,"-",0.99,0.94,0.71
bus_driver,mean,1.04,1.04,1.03,1.05
bus_driver,std deviation,0.25,0.26,0.27,0.35
bus_driver,correlation,"-",1.00,0.96,0.60
mechanic,mean,0.96,0.96,0.96,1.00
mechanic,std deviation,0.24,0.24,0.27,0.52
mechanic,correlation,"-",0.99,0.89,0.46
construction_worker,mean,0.72,0.73,0.73,0.72
construction_worker,std deviation,0.27,0.26,0.26,0.30
construction_worker,correlation,"-",0.99,0.94,0.71
metal_worker,mean,1.17,1.16,1.16,1.16
metal_worker,std deviation,0.22,0.23,0.26,0.30
metal_worker,correlation,"-",0.99,0.86,0.79
cook_chef,mean,1.40,1.40,1.40,1.38
cook_chef,std deviation,0.61,0.63,0.61,0.58
cook_chef,correlation,"-",1.00,0.99,0.95
departmental_head,mean,2.63,2.62,2.61,2.53
departmental_head,std deviation,1.31,1.31,1.34,1.44
departmental_head,correlation,"-",1.00,0.98,0.95
engineer,mean,2.12,2.12,2.07,2.04
engineer,std deviation,0.75,0.76,0.77,0.84
engineer,correlation,"-",1.00,0.96,0.90
bank_clerk,mean,1.51,1.52,1.48,1.48
bank_clerk,std deviation,0.61,0.61,0.63,0.71
bank_clerk,correlation,"-",1.00,0.98,0.90
executive_secretary,mean,1.13,1.13,1.13,1.14
executive_secretary,std deviation,0.28,0.27,0.27,0.35
executive_secretary,correlation,"-",0.99,0.98,0.96
salesperson,mean,0.76,0.76,0.75,0.78
salesperson,std deviation,0.16,0.16,0.16,0.18
salesperson,correlation,"-",0.99,0.97,0.52
textile_worker,mean,0.68,0.68,0.70,0.66
textile_worker,std deviation,0.17,0.18,0.20,0.27
textile_worker,correlation,"-",0.99,0.87,0.72
